Start time          	End time            	ID	Val
--------------------	--------------------	--	---
21-Jul-2009 13:30:12	21-Jul-2009 13:30:13	1	1
21-Jul-2009 13:30:18	21-Jul-2009 13:54:14	1	1
21-Jul-2009 13:37:54	21-Jul-2009 13:37:58	18	1
21-Jul-2009 13:38:08	21-Jul-2009 13:38:09	18	1
21-Jul-2009 13:38:10	21-Jul-2009 13:41:31	18	1
21-Jul-2009 13:41:34	21-Jul-2009 13:41:35	18	1
21-Jul-2009 13:41:37	21-Jul-2009 13:41:49	18	1
21-Jul-2009 13:41:52	21-Jul-2009 13:41:53	18	1
21-Jul-2009 13:43:37	21-Jul-2009 13:43:38	18	1
21-Jul-2009 13:43:42	21-Jul-2009 13:43:43	18	1
21-Jul-2009 13:43:53	21-Jul-2009 13:43:54	18	1
21-Jul-2009 13:44:08	21-Jul-2009 13:44:09	18	1
21-Jul-2009 13:44:10	21-Jul-2009 13:44:11	18	1
21-Jul-2009 13:44:13	21-Jul-2009 15:32:59	18	1
21-Jul-2009 13:54:19	21-Jul-2009 13:54:29	7	1
21-Jul-2009 13:54:23	21-Jul-2009 13:54:24	1	1
21-Jul-2009 15:19:23	21-Jul-2009 15:19:24	14	1
21-Jul-2009 15:19:27	21-Jul-2009 15:19:28	14	1
21-Jul-2009 15:33:02	21-Jul-2009 15:33:03	18	1
21-Jul-2009 17:01:07	21-Jul-2009 17:01:08	18	1
21-Jul-2009 17:01:10	21-Jul-2009 17:01:11	18	1
21-Jul-2009 17:13:47	21-Jul-2009 17:13:48	18	1
21-Jul-2009 17:13:52	21-Jul-2009 17:13:58	18	1
21-Jul-2009 17:14:20	21-Jul-2009 17:14:21	18	1
21-Jul-2009 17:14:23	21-Jul-2009 17:14:24	18	1
21-Jul-2009 17:14:27	21-Jul-2009 17:14:28	18	1
21-Jul-2009 17:14:45	21-Jul-2009 17:14:46	18	1
21-Jul-2009 17:15:12	21-Jul-2009 17:15:13	18	1
21-Jul-2009 17:15:13	21-Jul-2009 17:15:14	18	1
21-Jul-2009 17:15:17	21-Jul-2009 17:15:19	18	1
21-Jul-2009 17:44:45	21-Jul-2009 17:44:46	18	1
21-Jul-2009 17:44:48	21-Jul-2009 17:44:49	18	1
21-Jul-2009 17:48:10	21-Jul-2009 17:48:11	18	1
21-Jul-2009 17:48:13	21-Jul-2009 17:48:14	18	1
21-Jul-2009 17:48:17	21-Jul-2009 17:48:18	18	1
21-Jul-2009 17:48:19	21-Jul-2009 17:48:20	18	1
21-Jul-2009 17:48:22	21-Jul-2009 17:48:23	18	1
21-Jul-2009 17:48:42	21-Jul-2009 17:48:43	18	1
21-Jul-2009 17:48:50	21-Jul-2009 17:48:51	18	1
21-Jul-2009 17:49:28	21-Jul-2009 17:49:29	18	1
21-Jul-2009 17:49:30	21-Jul-2009 17:49:31	18	1
21-Jul-2009 17:49:32	21-Jul-2009 17:49:33	18	1
21-Jul-2009 17:49:36	21-Jul-2009 17:49:37	18	1
21-Jul-2009 17:49:39	21-Jul-2009 17:49:42	18	1
21-Jul-2009 17:49:43	21-Jul-2009 17:49:44	18	1
21-Jul-2009 17:49:50	21-Jul-2009 17:49:51	18	1
21-Jul-2009 17:49:52	21-Jul-2009 17:49:53	18	1
21-Jul-2009 17:49:54	21-Jul-2009 17:49:55	18	1
21-Jul-2009 17:49:58	21-Jul-2009 17:49:59	18	1
21-Jul-2009 17:50:00	21-Jul-2009 17:50:01	18	1
21-Jul-2009 17:50:02	21-Jul-2009 17:50:03	18	1
21-Jul-2009 17:50:04	21-Jul-2009 17:50:05	18	1
21-Jul-2009 17:50:05	21-Jul-2009 17:50:06	18	1
21-Jul-2009 17:50:08	21-Jul-2009 17:50:09	18	1
21-Jul-2009 17:50:09	21-Jul-2009 17:50:10	18	1
21-Jul-2009 17:50:13	21-Jul-2009 17:50:19	18	1
21-Jul-2009 17:50:23	21-Jul-2009 17:50:24	18	1
21-Jul-2009 17:50:39	21-Jul-2009 17:50:40	18	1
21-Jul-2009 17:50:52	21-Jul-2009 17:50:53	18	1
21-Jul-2009 17:51:08	21-Jul-2009 17:51:09	18	1
21-Jul-2009 17:51:24	21-Jul-2009 17:51:25	18	1
21-Jul-2009 17:51:33	21-Jul-2009 17:51:34	18	1
21-Jul-2009 17:51:35	21-Jul-2009 17:51:36	18	1
21-Jul-2009 17:51:39	21-Jul-2009 17:51:40	18	1
21-Jul-2009 17:51:42	21-Jul-2009 17:51:43	18	1
21-Jul-2009 17:51:52	21-Jul-2009 17:51:53	18	1
21-Jul-2009 17:51:54	21-Jul-2009 17:51:55	18	1
21-Jul-2009 17:51:56	21-Jul-2009 17:51:57	18	1
21-Jul-2009 17:52:02	21-Jul-2009 17:52:03	18	1
21-Jul-2009 17:52:04	21-Jul-2009 17:52:05	18	1
21-Jul-2009 17:52:20	21-Jul-2009 17:52:21	18	1
21-Jul-2009 17:52:36	21-Jul-2009 17:52:37	18	1
21-Jul-2009 17:52:55	21-Jul-2009 17:52:56	18	1
21-Jul-2009 17:52:59	21-Jul-2009 17:53:00	18	1
21-Jul-2009 17:53:15	21-Jul-2009 17:53:16	18	1
21-Jul-2009 17:53:39	21-Jul-2009 17:53:45	18	1
21-Jul-2009 17:53:47	21-Jul-2009 17:53:49	18	1
21-Jul-2009 17:54:02	21-Jul-2009 17:54:03	18	1
21-Jul-2009 17:54:04	21-Jul-2009 17:54:05	18	1
21-Jul-2009 17:54:06	21-Jul-2009 17:54:07	18	1
21-Jul-2009 17:54:09	21-Jul-2009 17:54:11	18	1
21-Jul-2009 17:59:13	21-Jul-2009 17:59:16	7	1
21-Jul-2009 18:00:41	21-Jul-2009 18:00:42	18	1
21-Jul-2009 18:00:46	21-Jul-2009 18:00:47	18	1
21-Jul-2009 18:00:47	21-Jul-2009 18:00:48	18	1
21-Jul-2009 18:01:19	21-Jul-2009 18:01:20	18	1
21-Jul-2009 18:01:28	21-Jul-2009 18:01:31	18	1
21-Jul-2009 18:01:44	21-Jul-2009 18:01:45	18	1
21-Jul-2009 18:01:50	21-Jul-2009 18:01:51	18	1
21-Jul-2009 18:02:43	21-Jul-2009 18:37:48	18	1
21-Jul-2009 18:04:05	21-Jul-2009 18:04:12	7	1
21-Jul-2009 18:37:51	21-Jul-2009 18:37:52	18	1
21-Jul-2009 18:37:57	21-Jul-2009 18:37:58	18	1
21-Jul-2009 18:38:00	21-Jul-2009 18:38:01	18	1
21-Jul-2009 18:38:03	21-Jul-2009 19:15:41	18	1
21-Jul-2009 19:15:45	21-Jul-2009 19:15:52	18	1
21-Jul-2009 19:16:08	21-Jul-2009 19:16:10	18	1
21-Jul-2009 19:16:23	21-Jul-2009 19:16:25	18	1
21-Jul-2009 19:16:28	21-Jul-2009 19:16:29	18	1
21-Jul-2009 19:16:31	21-Jul-2009 19:16:32	18	1
21-Jul-2009 19:16:43	21-Jul-2009 19:16:44	18	1
21-Jul-2009 19:16:47	21-Jul-2009 19:16:49	18	1
21-Jul-2009 19:16:52	21-Jul-2009 19:16:53	18	1
21-Jul-2009 19:16:54	21-Jul-2009 19:16:55	18	1
21-Jul-2009 19:16:58	21-Jul-2009 19:16:59	18	1
21-Jul-2009 19:17:01	21-Jul-2009 19:17:02	18	1
21-Jul-2009 19:17:04	21-Jul-2009 19:52:55	18	1
21-Jul-2009 19:52:58	21-Jul-2009 19:52:59	18	1
21-Jul-2009 19:54:07	21-Jul-2009 19:54:08	18	1
21-Jul-2009 19:55:09	21-Jul-2009 19:55:10	18	1
21-Jul-2009 19:56:17	21-Jul-2009 19:56:18	18	1
21-Jul-2009 19:58:14	21-Jul-2009 19:58:15	18	1
21-Jul-2009 19:58:47	21-Jul-2009 19:58:48	18	1
21-Jul-2009 19:58:49	21-Jul-2009 19:58:50	18	1
21-Jul-2009 19:59:30	21-Jul-2009 19:59:31	18	1
21-Jul-2009 19:59:33	21-Jul-2009 19:59:34	18	1
21-Jul-2009 19:59:42	21-Jul-2009 19:59:43	18	1
21-Jul-2009 19:59:47	21-Jul-2009 19:59:52	18	1
21-Jul-2009 19:59:53	21-Jul-2009 19:59:54	18	1
21-Jul-2009 19:59:55	21-Jul-2009 19:59:56	18	1
21-Jul-2009 19:59:59	21-Jul-2009 20:00:00	18	1
21-Jul-2009 20:00:03	21-Jul-2009 20:00:04	18	1
21-Jul-2009 20:00:05	21-Jul-2009 20:00:06	18	1
21-Jul-2009 20:00:15	21-Jul-2009 20:00:16	18	1
21-Jul-2009 20:00:21	21-Jul-2009 20:00:23	18	1
21-Jul-2009 20:00:31	21-Jul-2009 20:00:32	18	1
21-Jul-2009 20:01:07	21-Jul-2009 20:01:16	18	1
21-Jul-2009 20:01:17	21-Jul-2009 20:01:18	18	1
21-Jul-2009 20:01:19	21-Jul-2009 20:01:20	18	1
21-Jul-2009 20:01:23	21-Jul-2009 20:01:27	18	1
21-Jul-2009 20:01:28	21-Jul-2009 20:01:29	18	1
21-Jul-2009 20:01:30	21-Jul-2009 20:01:31	18	1
